2025-02-14 10:17:24,231 - root - INFO - 初始化完成 - File: main.py, Line: 12, Func: main
2025-02-14 10:17:24,785 - root - INFO - 摄像头已创建 - File: camera.py, Line: 14, Func: create
2025-02-14 10:17:24,785 - root - INFO - 摄像头已创建 - File: camera.py, Line: 14, Func: create
2025-02-14 10:17:24,786 - root - INFO - 创建 人脸创建器 - File: face_detector.py, Line: 21, Func: __init__
2025-02-14 10:17:24,786 - root - INFO - 创建 人脸创建器 - File: face_detector.py, Line: 21, Func: __init__
2025-02-14 10:17:24,786 - root - INFO - 创建 人脸创建器 - File: face_detector.py, Line: 21, Func: __init__
2025-02-14 10:18:34,626 - root - INFO - 初始化完成 - File: main.py, Line: 12, Func: main
2025-02-14 10:18:35,336 - root - INFO - 摄像头已创建 - File: camera.py, Line: 14, Func: create
2025-02-14 10:18:35,336 - root - INFO - 摄像头已创建 - File: camera.py, Line: 14, Func: create
2025-02-14 10:18:35,336 - root - INFO - 创建 人脸创建器 - File: face_detector.py, Line: 21, Func: __init__
2025-02-14 10:18:35,336 - root - INFO - 创建 人脸创建器 - File: face_detector.py, Line: 21, Func: __init__
2025-02-14 10:18:35,336 - root - INFO - 创建 人脸创建器 - File: face_detector.py, Line: 21, Func: __init__
2025-02-14 10:23:14,380 - root - INFO - 初始化完成 - File: main.py, Line: 12, Func: main
2025-02-14 10:23:15,032 - root - INFO - 摄像头已创建 - File: camera.py, Line: 14, Func: create
2025-02-14 10:23:15,032 - root - INFO - 摄像头已创建 - File: camera.py, Line: 14, Func: create
2025-02-14 10:23:15,033 - root - INFO - 创建 人脸创建器 - File: face_detector.py, Line: 21, Func: __init__
2025-02-14 10:23:15,033 - root - INFO - 创建 人脸创建器 - File: face_detector.py, Line: 21, Func: __init__
2025-02-14 10:23:15,033 - root - INFO - 创建 人脸创建器 - File: face_detector.py, Line: 21, Func: __init__
2025-02-14 10:24:29,736 - root - INFO - 初始化完成 - File: main.py, Line: 12, Func: main
2025-02-14 10:24:30,427 - root - INFO - 摄像头已创建 - File: camera.py, Line: 14, Func: create
2025-02-14 10:24:30,427 - root - INFO - 摄像头已创建 - File: camera.py, Line: 14, Func: create
2025-02-14 10:24:30,427 - root - INFO - 创建 人脸创建器 - File: face_detector.py, Line: 21, Func: __init__
2025-02-14 10:24:30,427 - root - INFO - 创建 人脸创建器 - File: face_detector.py, Line: 21, Func: __init__
2025-02-14 10:24:30,427 - root - INFO - 创建 人脸创建器 - File: face_detector.py, Line: 21, Func: __init__
2025-02-14 10:28:11,047 - root - INFO - 初始化完成 - File: main.py, Line: 12, Func: main
2025-02-14 10:28:11,769 - root - INFO - 摄像头已创建 - File: camera.py, Line: 14, Func: create
2025-02-14 10:28:11,769 - root - INFO - 摄像头已创建 - File: camera.py, Line: 14, Func: create
2025-02-14 10:28:11,769 - root - INFO - 创建 人脸创建器 - File: face_detector.py, Line: 21, Func: __init__
2025-02-14 10:28:11,769 - root - INFO - 创建 人脸创建器 - File: face_detector.py, Line: 21, Func: __init__
2025-02-14 10:28:11,769 - root - INFO - 创建 人脸创建器 - File: face_detector.py, Line: 21, Func: __init__
2025-02-14 10:28:49,312 - root - INFO - 初始化完成 - File: main.py, Line: 12, Func: main
2025-02-14 10:28:49,988 - root - INFO - 摄像头已创建 - File: camera.py, Line: 14, Func: create
2025-02-14 10:28:49,988 - root - INFO - 摄像头已创建 - File: camera.py, Line: 14, Func: create
2025-02-14 10:28:49,988 - root - INFO - 创建 人脸创建器 - File: face_detector.py, Line: 21, Func: __init__
2025-02-14 10:28:49,988 - root - INFO - 创建 人脸创建器 - File: face_detector.py, Line: 21, Func: __init__
2025-02-14 10:28:49,988 - root - INFO - 创建 人脸创建器 - File: face_detector.py, Line: 21, Func: __init__
2025-02-14 10:29:56,501 - root - INFO - 初始化完成 - File: main.py, Line: 12, Func: main
2025-02-14 10:29:57,247 - root - INFO - 摄像头已创建 - File: camera.py, Line: 14, Func: create
2025-02-14 10:29:57,247 - root - INFO - 摄像头已创建 - File: camera.py, Line: 14, Func: create
2025-02-14 10:29:57,248 - root - INFO - 创建 人脸创建器 - File: face_detector.py, Line: 21, Func: __init__
2025-02-14 10:29:57,248 - root - INFO - 创建 人脸创建器 - File: face_detector.py, Line: 21, Func: __init__
